"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"1145","Atlantic Power Corp","AT","55101010",1098625,277,91,59,836,144,4,21,0,128,246.06648974517,0,"Yes"
"1146","Atkore International Group Inc","ATKR","20104010",1098626,1848,1339,652,547,320,50,209,0,216,2120.54152438209,0.0022,"Yes"
"1147","Zumiez Inc.","ZUMZ","25504010",1098627,983,635,718,648,14,0,57,0,85,889.430584984,0,"Yes"
"1148","ImmunoGen  Inc.","IMGN","35201010",1098629,59,0,106,47,0,0,0,168,-102,1244.69648648258,0,"Yes"
"1149","Park-Ohio Holdings Corp.","PKOH","20106020",1098631,1452,1219,483,644,101,49,121,0,22,396.5153952,0.0016,"Yes"
"1150","Sunrun Inc","RUN","20104020",1098633,1403,1027,1133,5864,19,22,95,36,-1418,8537.7951001584,6e-04,"Yes"
"1151","Geron Corporation","GERN","35201010",1098636,0,0,60,6,0,0,0,67,-92,577.85988609673,0,"Yes"
"1152","Digi International Inc.","DGII","45201020",1098637,299,145,206,37,39,0,195,41,45,567.1989574524,0,"Yes"
"1153","LeMaitre Vascular Inc","LMAT","35101010",1098640,145,48,132,52,30,0,48,10,25,751.47812135642,0,"Yes"
"1154","Comtech Telecomm. Corp.","CMTL","45201020",1098641,618,397,353,201,255,23,326,51,62,421.07004,0,"Yes"
"1155","Cara Therapeutics Inc","CARA","35201010",1098643,37,0,52,5,0,0,0,99,78,766.26922013151,0,"Yes"
"1156","Landec Corporation","LNDC","30202030",1098646,546,457,179,312,40,21,73,9,-28,342.94512,0,"Yes"
"1157","Workiva Inc","WK","45103020",1098647,402,102,489,76,1,17,0,119,28,3902.18148375952,0,"Yes"
"1158","Alpha and Omega Semiconductor Ltd","AOSL","45301020",1098648,592,419,192,736,16,25,0,57,-46,724.720816008,0,"Yes"
"1159","Altisource Portfolio Solutions S.A.","ASPS","60102040",1098650,276,211,351,197,31,20,37,0,63,218.488039308,0,"Yes"
"1160","Benefitfocus Inc","BNFT","45103020",1098651,282,130,317,212,12,1,12,47,31,415.30492939435,0,"Yes"
"1161","RMR Group Inc","RMR","60102010",1098652,589,357,432,0,0,0,2,0,73,621.98449687403,0,"Yes"
"1162","Agenus Inc","AGEN","35201010",1098653,89,0,120,77,10,0,23,189,-101,676.98225487938,0,"Yes"
"1163","Akebia Therapeutics Inc","AKBA","35201010",1098654,206,28,350,38,235,8,44,68,52,393.83891374338,0,"Yes"
"1164","Kronos Worldwide  Inc.","KRO","15101050",1098655,1757,1373,689,1445,0,32,0,17,16,1668.08952481925,0.0018,"Yes"
"1165","Evolent Health Inc","EVH","35101010",1098656,938,514,740,241,356,25,660,0,16,1209.59844346605,0,"Yes"
"1166","Shoe Carnival  Inc.","SCVL","25504010",1098657,964,690,768,482,0,0,0,0,38,523.69189236,0,"Yes"
"1167","Daktronics  Inc.","DAKT","45203010",1098658,530,399,295,272,3,0,7,32,10,207.09412,0,"Yes"
"1168","Movado Group  Inc","MOV","25203010",1098659,492,0,868,222,50,27,163,0,0,403.96998,0,"Yes"
"1169","Forterra Inc","FRTA","15102010",1098660,1667,1268,504,825,179,52,638,0,175,1246.47809352346,0.0022,"Yes"
"1170","Hooker Furniture Corporation","HOFT","25201020",1098662,540,0,256,113,35,14,43,0,0,416.22408,0,"Yes"
"1171","CVR Energy  Inc.","CVI","10102030",1098663,4707,3998,458,4377,0,44,0,0,158,2086.10451723458,0.0162,"No"
"1172","AlarmCom Hldg Inc","ALRM","45103020",1098664,643,226,409,108,145,3,147,146,69,4183.9259490585,0,"Yes"
"1173","PTC Therapeutics  Inc.","PTCT","35201010",1098666,531,41,598,63,824,2,95,326,-135,3592.82070231285,0,"Yes"
"1174","Rigel Pharmaceuticals  Inc.","RIGL","35201010",1098667,95,2,199,40,0,8,0,73,-31,578.60742666472,0,"Yes"
"1175","Textainer Group Holdings Limited","TGH","20201070",1098668,662,176,121,6229,-4,13,0,0,18,901.25498966506,0,"Yes"
"1176","UMH Properties  Inc","UMH","60101060",1098669,167,85,43,1088,0,10,0,0,43,648.6982496311,0,"Yes"
"1177","LivePerson  Inc.","LPSN","45102010",1098670,450,122,577,179,24,0,85,101,-13,3175.54436546879,0,"Yes"
"1178","Ares Commercial Real Estate Corp","ACRE","60101080",1098671,65,0,34,0,0,0,0,0,0,374.53129080288,0,"Yes"
"1179","Novavax  Inc.","NVAX","35201010",1098674,2600,0,271,133,5,10,51,1965,-580,7953.0107871706,0.0098,"Yes"
"1180","Whitestone REIT","WSR","60101040",1098676,122,34,65,1045,0,1,0,0,23,350.3539,0,"Yes"
"1181","Surgery Partners Inc","SGRY","35102015",1098677,2110,1587,505,955,48,239,3504,0,253,1589.24824629076,0.0036,"Yes"
"1182","Century Communities Inc","CCS","25201030",1098679,3624,2953,758,114,0,19,69,0,-58,1478.13611924606,0.0057,"Yes"
"1183","Central Garden & Pet Co","CENT","30202030",1098681,2674,1882,1619,721,186,129,365,0,146,2061.31522500374,0.0017,"Yes"
"1184","Invacare Corporation","IVC","35101020",1098682,894,629,765,410,26,12,370,14,-46,310.9427953038,0,"Yes"
"1185","Mistras Group Inc","MG","10102010",1098684,664,461,505,343,151,34,391,0,27,197.80326,0,"No"
"1186","Renewable Energy Group Inc","REGI","10102050",1098685,2304,1969,338,1135,10,14,14,0,-86,2511.80893747796,0.0064,"No"
"1187","Entercom Communications Corp.","ETM","50201020",1098686,1297,985,203,773,2546,210,43,0,121,286.56830542754,0.0026,"Yes"
"1188","Pacific Biosciences of California Inc","PACB","35101010",1098687,132,72,206,108,0,0,0,69,-78,3881.488268391,0,"Yes"
"1189","ANI Pharmaceuticals Inc","ANIP","35201010",1098689,207,83,149,56,289,0,5,22,43,308.69130638531,0,"Yes"
"1190","Barrett Business Services  Inc.","BBSI","20202010",1098690,943,731,425,80,0,0,47,0,40,549.83103488818,0,"Yes"
"1191","Forrester Research  Inc.","FORR","50201010",1098692,466,187,615,191,131,27,329,0,66,824.55828,0,"Yes"
"1192","Marcus & Millichap Inc","MMI","60102040",1098693,732,453,566,140,7,0,15,0,69,1336.41604432884,0,"Yes"
"1193","Enova International Inc","ENVA","40202010",1098694,1436,713,902,155,2,33,267,0,-37,744.48442666668,8e-04,"Yes"
"1194","Camping World Holdings Inc","CWH","25504050",1098696,5752,4025,3196,1486,37,235,488,0,152,2288.7589295233,0.1751,"Yes"
"1195","STAAR Surgical Company","STAA","35101020",1098697,206,50,210,64,0,0,1,34,4,3541.904242968,0,"Yes"
"1196","Malibu Boats Inc","MBUU","25202010",1098698,790,594,152,144,186,9,68,0,103,1310.77635728634,0,"Yes"
"1197","Petmed Express Inc","PETS","30101010",1098699,309,216,136,37,0,0,0,0,32,600.801829929,0,"Yes"
"1198","Intersect ENT Inc","XENT","35101020",1098700,119,30,288,29,0,0,0,26,-36,740.72598339771,0,"Yes"
"1199","Revance Therapeutics Inc","RVNC","35201010",1098701,91,0,197,65,0,0,0,201,-1377,1510.51848680946,0,"Yes"
"1200","Beazer Homes USA  Inc.","BZH","25201030",1098702,2024,1601,725,86,0,18,31,0,210,449.8230122464,0.0024,"Yes"
"1201","Western Asset Mortgage Capital Corp","WMC","60101080",1098703,46,0,16,0,0,0,0,0,0,215.23953387606,0,"Yes"
"1202","Carriage Services  Inc.","CSV","25302020",1098704,328,211,84,606,38,8,472,0,46,537.44925,0,"Yes"
"1203","Accuray Incorporated","ARAY","35101010",1098707,382,225,298,128,0,25,57,47,26,392.39759,0,"Yes"
"1204","Corenergy Infrastructure Trust Inc","CORR","60101080",1098708,10,0,44,611,0,419,1,0,13,120.22403839202,0,"Yes"
"1205","Entravision Communications Corp","EVC","50201020",1098710,480,268,247,310,279,35,48,0,47,268.939068,0,"Yes"
"1206","The Hackett Group  Inc.","HCKT","20201070",1098713,249,157,175,52,2,0,86,0,20,471.84337564974,0,"Yes"
"1207","Atara Biotherapeutics Inc","ATRA","35201010",1098714,0,0,226,75,0,0,0,271,-295,2112.0254832048,0,"Yes"
"1208","Cerus Corporation","CERS","35101020",1098715,134,52,177,38,0,7,1,62,-35,1273.25756994845,0,"Yes"
"1209","Cornerstone Building Brands Inc","CNR","20102010",1098716,4882,3744,1326,1566,1769,234,1697,13,379,1150.42904136198,0.0337,"Yes"
"1210","A10 Networks Inc","ATEN","45103020",1098717,242,45,364,64,2,0,1,58,19,604.411563735,0,"Yes"
"1211","Houlihan Lokey Inc","HLI","40203020",1098718,1087,0,2339,225,200,94,639,0,182,4806.14871859819,1e-04,"Yes"
"1212","Wingstop Inc","WING","25301040",1098719,279,51,300,57,48,8,53,0,66,3904.76079223028,0,"Yes"
"1213","NexPoint Residential Trust Inc","NXRT","60101060",1098720,212,14,246,1888,0,0,0,0,98,1067.00823230561,0,"Yes"
"1214","Catchmark Timber Trust Inc","CTT","60101080",1098721,109,43,36,3,0,3,0,0,5,442.9813599552,0,"Yes"
"1215","Acushnet Holdings Corp","GOLF","25202010",1098722,1728,830,1790,523,498,33,221,52,156,2934.85938491528,7e-04,"Yes"
"1216","Matrix Service Co","MTRX","10101020",1098724,870,800,259,265,21,105,101,0,35,257.95749,0,"No"
"1217","Regenxbio Inc","RGNX","35201010",1098726,133,13,155,66,0,0,0,208,-102,1667.14937415937,0,"Yes"
"1218","NeoGenomics  Inc.","NEO","35102015",1098727,528,281,426,177,150,19,235,10,6,6103.35640347,0,"Yes"
"1219","Urstadt Biddle Properties Inc","UBA","60101040",1098728,126,44,31,1135,0,529,0,0,71,522.34146101333,0,"Yes"
"1220","Haverty Furniture Companies  Inc.","HVT","25504060",1098729,826,369,1192,601,0,0,0,0,14,481.0703290288,0,"Yes"
"1221","Unifi  Inc.","UFI","25203030",1098730,580,521,151,870,1,7,0,0,17,318.8785,0,"Yes"
"1222","American Vanguard Corp.","AVD","15101030",1098733,487,297,355,170,252,8,59,24,28,493.6969314112,0,"Yes"
"1223","Harmonic Inc","HLIT","45201020",1098734,458,217,366,150,4,20,225,96,16,958.48255364538,0,"Yes"
"1224","Kratos Defense & Security Solutions  Inc","KTOS","20101010",1098735,864,623,371,238,40,38,467,21,41,2775.75266793901,0,"Yes"
"1225","Boingo Wireless Inc","WIFI","50102010",1098737,247,166,148,886,13,4,52,18,37,645.6919638771,0,"Yes"
"1226","Ardelyx Inc","ARDX","35201010",1098738,28,1,70,21,0,3,0,118,-96,574.29900176849,0,"Yes"
"1227","Esperion Therapeutics Inc","ESPR","35201010",1098739,100,0,188,3,0,0,0,285,-238,905.4731343873,0,"Yes"
"1228","Regis Corporation","RGS","25302020",1098740,479,203,1175,1092,4,173,227,0,-36,363.26282928,0,"Yes"
"1229","Medifast Inc","MED","30202030",1098741,1096,270,1194,81,0,0,0,4,133,2379.6270221933,2e-04,"Yes"
"1230","Axcelis Technologies Inc","ACLS","45301010",1098743,506,291,202,154,0,4,0,75,52,973.01157784206,0,"Yes"
"1231","Inovio Pharmaceuticals Inc","INO","35201010",1098745,19,0,87,26,3,0,7,106,-109,3116.97789688499,0,"Yes"
"1232","Enanta Pharmaceuticals Inc","ENTA","35201010",1098746,101,0,72,23,0,9,0,179,-68,867.10186609422,0,"Yes"
"1233","Cytokinetics  Inc.","CYTK","35201010",1098747,49,0,112,29,0,3,0,54,-28,1427.87575568801,0,"Yes"
"1234","Cross Country Healthcare  Inc.","CCRN","20202010",1098748,783,591,533,47,114,6,152,0,44,337.84542255124,0,"Yes"
"1235","Cohu  Inc.","COHU","45301010",1098749,811,435,339,134,573,31,435,100,79,1545.72005295953,0,"Yes"
"1236","Omeros Corporation","OMER","35201010",1098751,125,1,179,8,0,35,0,137,-113,872.18905776193,0,"Yes"
"1237","Chuy's Holdings Inc","CHUY","25301040",1098752,385,97,559,335,22,0,24,0,23,520.94831651995,0,"Yes"
"1238","AngioDynamics  Inc.","ANGO","35101020",1098753,281,123,310,79,190,6,193,33,10,573.97032,0,"Yes"
"1239","Heidrick & Struggles International  Inc.","HSII","20202010",1098754,628,15,1772,97,2,0,138,0,87,502.14840521297,0,"Yes"
"1240","Ultra Clean Holdings Inc","UCTT","45301010",1098757,1513,1203,353,330,331,41,257,19,124,1424.89240823213,0.0025,"Yes"
"1241","Gladstone Commercial Corporation","GOOD","60101010",1098759,138,22,27,934,111,5,0,0,100,558.66538,0,"Yes"
"1242","Crocs  Inc.","CROX","25203020",1098761,1495,685,1363,159,45,137,1,13,193,4274.50102092187,6e-04,"Yes"
"1243","Armada Hoffler Properties Inc","AHH","60101040",1098762,165,78,28,1176,-13,119,0,0,109,718.95304314031,0,"Yes"
"1244","Shake Shack Inc","SHAK","25301040",1098763,735,505,332,393,0,80,0,0,0,3507.760116133,0,"Yes"
"1245","Resources Connection  Inc.","RGP","20201070",1098766,629,382,630,96,21,29,227,0,42,315.953217957,0,"Yes"
"1246","Rent-A-Center Inc","RCII","25504040",1098767,2951,1174,4650,664,0,146,57,0,170,1897.77045447297,7e-04,"Yes"
"1247","Carrols Restaurant Group Inc","TAST","25301040",1098769,1573,970,662,829,249,3256,46,0,74,301.3467368,0.0015,"Yes"
"1248","LGI Homes Inc","LGIH","25201030",1098770,2639,1981,585,8,12,6,0,0,-24,2684.28748004434,0.0046,"Yes"
"1249","Lumber Liquidators Holdings Inc","LL","25504060",1098771,1161,721,1127,223,0,247,9,0,36,909.19975214832,3e-04,"Yes"
"1250","Casella Waste Systems Inc.","CWST","20201050",1098772,833,554,276,1504,68,53,216,0,79,3027.52021893942,0,"Yes"
"1251","La Jolla Pharmaceutical Company","LJPC","35201010",1098773,56,8,126,44,0,0,0,49,-14,150.86643151552,0,"Yes"
"1252","Amphastar Pharmaceuticals Inc","AMPH","35202010",1098774,436,227,169,457,25,10,2,66,21,948.08643824202,0,"Yes"
"1253","Columbus McKinnon Corp.","CMCO","20106010",1098775,620,408,508,324,218,31,319,9,85,966.112199403,0,"Yes"
"1254","PGT Innovations Inc","PGTI","20102010",1098776,938,596,496,325,365,23,396,0,94,1168.72731602827,0,"Yes"
"1255","Endurance International Group Hldgs Inc","EIGI","45102010",1098778,1141,512,1197,442,227,80,1703,120,180,1391.69904599703,2e-04,"Yes"
"1256","DXP Enterprises Inc","DXPE","20106020",1098784,1022,753,772,205,46,41,172,0,12,425.59488,1e-04,"Yes"
"1257","Stoneridge  Inc.","SRI","25101010",1098785,714,518,306,483,61,13,37,56,14,836.20081776,0,"Yes"
"1258","SiteOne Landscape Supply Inc","SITE","30202010",1098787,2880,1922,1860,494,157,171,189,0,166,6268.10224729843,0.0017,"Yes"
"1259","Accelerate Diagnostics Inc","AXDX","35101010",1098789,24,11,145,23,0,3,0,23,-60,415.03754194828,0,"Yes"
"1260","Motorcar Parts of America  Inc.","MPAA","25101010",1098790,556,418,183,137,5,8,2,8,32,464.93723106646,0,"Yes"
"1261","CSW Industrials Inc","CSWI","15101050",1098792,387,205,296,144,45,6,89,0,60,1630.1036763996,0,"Yes"
"1262","Veritiv Corp","VRTV","20301010",1098793,6121,4946,3822,1009,56,175,107,0,148,320.108290986,0.2297,"Yes"
"1263","Cryolife Inc","CRY","35101020",1098794,288,93,353,137,211,18,250,24,33,840.7227,0,"Yes"
"1264","Par Pacific Holdings Inc","PARR","10102030",1098795,3335,3284,121,1686,25,130,234,0,107,757.58932259532,0.0307,"No"
"1265","Spectrum Pharmaceuticals  Inc.","SPPI","35201010",1098796,52,0,198,20,0,0,0,97,-98,688.71675741028,0,"Yes"
"1266","Intra-Cellular Therapies Inc","ITCI","35201010",1098797,125,0,202,24,0,0,0,236,-12169,2113.2507538607,0,"Yes"
"1267","TG Therapeutics Inc","TGTX","35201010",1098799,73,0,54,0,0,8,0,469,-510,5048.12150444656,0,"Yes"
"1268","Phibro Animal Health Corp","PAHC","35202010",1098800,812,539,492,370,51,16,29,13,44,748.6044140368,0,"Yes"
"1269","GenMark Diagnostics  Inc","GNMK","35101010",1098801,180,98,124,52,1,7,0,37,20,873.5849496465,0,"Yes"
"1270","Meridian Bioscience  Inc.","VIVO","35101020",1098803,301,121,201,95,18,13,43,25,50,880.32299645417,0,"Yes"
"1271","Marten Transport  Ltd","MRTN","20304020",1098804,942,600,302,936,0,0,0,0,-3,1476.55970929668,0,"Yes"
"1272","MarineMax Inc","HZO","25202010",1098806,1843,1354,766,248,78,0,0,0,-85,714.14658659475,0.0018,"Yes"
"1273","John B. Sanfilippo & Son  Inc.","JBSS","30202030",1098807,891,0,272,401,13,2,10,0,0,878.1804548,0,"Yes"
"1274","Virtus Investment Partners Inc","VRTS","40203010",1098810,701,0,861,234,443,40,380,0,265,1703.99448778595,0,"Yes"
"1275","PROS Holdings  Inc.","PRO","45103020",1098812,255,95,392,47,31,97,63,69,-7,1869.227308518,0,"Yes"
"1276","Vocera Communications Inc","VCRA","45201020",1098814,218,74,268,31,13,5,73,39,61,1121.44978,0,"Yes"
"1277","Independence Realty Trust Inc","IRT","60101060",1098815,220,101,35,1796,0,3,0,0,157,2631.40318585663,0,"Yes"
"1278","Flexion Therapeutics Inc","FLXN","35201010",1098816,145,20,318,27,0,7,0,67,-92,524.76333806843,0,"Yes"
"1279","Buckle Inc","BKE","25504010",1098817,893,513,737,802,0,0,0,0,129,1562.958383778,0,"Yes"
"1280","Anworth Mortgage Asset Corporation","ANH","60101080",1098818,32,6,24,0,0,1,0,0,18,247.77423006759,0,"Yes"
"1281","Modine Manufacturing Co.","MOD","25101010",1098819,1767,1486,505,1389,111,52,174,51,122,635.33168336,0.0025,"Yes"
"1282","Vanda Pharmaceuticals Inc.","VNDA","35201010",1098825,273,28,378,9,17,0,0,55,0,690.58902668932,0,"Yes"
"1283","PDF Solutions  Inc.","PDFS","45301010",1098826,113,36,78,76,3,0,1,39,-15,694.9826426576,0,"Yes"
"1284","AeroVironment  Inc.","AVAV","20101010",1098827,400,237,168,110,9,0,4,49,29,1753.96182767306,0,"Yes"
"1285","Fiesta Restaurant Group Inc","FRGI","25301040",1098828,589,185,1152,401,0,168,123,0,1,334.9645504,0,"Yes"
"1286","Ruth's Hospitality Group  Inc.","RUTH","25301040",1098829,370,284,138,346,58,978,42,0,19,495.6222805256,0,"Yes"
"1287","FARO Technologies  Inc.","FARO","45203010",1098830,342,154,457,123,49,0,100,34,-162,1259.12987978481,0,"Yes"
"1288","Heska Corp","HSKA","35101020",1098831,222,131,159,53,9,12,26,14,9,1213.8034591872,0,"Yes"
"1289","Rayonier Advanced Materials Inc","RYAM","15101050",1098832,1713,1576,284,2940,60,10,0,0,112,513.27303928286,0.0042,"Yes"
"1290","Schnitzer Steel Industries  Inc.","SCHN","15104050",1098833,1762,1512,564,1439,4,51,169,0,2,793.63296,0.0023,"Yes"
"1291","Astronics Corporation","ATRO","20101010",1098834,506,400,321,244,124,17,141,74,22,375.554330326,0,"Yes"
"1292","AtriCure Inc.","ATRC","35101020",1098837,259,67,408,76,128,1,231,42,5,2159.89233989157,0,"Yes"
"1293","Marcus Corp","MCS","25301030",1098838,607,416,344,1798,10,52,76,0,71,361.64518422357,0,"Yes"
"1294","Fox Factory Holding Corp","FOXF","25101010",1098839,1025,680,248,212,89,15,102,41,115,4174.62584335436,3e-04,"Yes"
"1295","HealthStream  Inc.","HSTM","45103020",1098840,219,86,224,114,75,0,94,25,11,647.0081645456,0,"Yes"
"1296","Newpark Resources Inc","NR","10101020",1098841,563,448,339,669,33,21,47,0,-10,257.84235592644,0,"No"
"1297","SunCoke Energy Inc","SXC","15104050",1098842,1241,982,227,2284,34,9,3,0,141,446.8068864,0.0019,"Yes"
"1298","CalAmp Corp.","CAMP","50102010",1098843,332,205,296,112,52,39,89,26,11,337.3734,0,"Yes"
"1299","Sonic Automotive Inc","SAH","25504050",1098844,11308,9697,3311,2160,65,136,483,0,-96,1863.2748634858,0.5581,"Yes"
"1300","NN  Inc.","NNBR","20106020",1098845,458,352,256,662,375,50,500,0,67,266.0499,0,"Yes"
"1301","SP Plus Corp","SP","20305020",1098846,585,419,269,619,179,120,691,0,80,894.41331345201,0,"Yes"
"1302","The Providence Service Corporation","PRSC","35102015",1098848,2078,1662,179,117,20,0,141,0,143,2217.51515371496,0.0101,"Yes"
"1303","USANA Health Sciences  Inc.","USNA","30302010",1098849,1193,218,2207,232,29,0,16,11,138,1617.16439713806,2e-04,"Yes"
"1304","M/I Homes Inc","MHO","25201030",1098851,3228,2572,924,85,0,12,26,0,130,1294.80543355993,0.004,"Yes"
"1305","Lannett Company  Inc.","LCI","35202010",1098854,529,374,241,190,411,9,0,29,93,265.80549317509,0,"Yes"
"1306","OraSure Technologies  Inc.","OSUR","35101020",1098855,320,125,210,102,14,0,36,41,50,851.230371732,0,"Yes"
"1307","Heron Therapeutics Inc","HRTX","35201010",1098856,130,27,301,43,0,0,0,100,-95,1616.79561522078,0,"Yes"
"1308","ORBCOMM Inc","ORBC","50102010",1098857,268,125,197,349,73,15,166,13,44,506.44895259817,0,"Yes"
"1309","Kforce Inc.","KFRC","20202010",1098858,1381,990,935,42,-1,13,-5,0,67,887.94722138601,7e-04,"Yes"
"1310","MacroGenics Inc","MGNX","35201010",1098860,129,0,136,92,0,0,0,270,-180,1455.98471658821,0,"Yes"
"1311","Insteel Industries Inc","IIIN","15102010",1098861,464,396,83,0,9,0,10,0,35,488.7198897945,0,"Yes"
"1312","MYR Group Inc","MYRG","20103010",1098862,2321,2040,442,550,67,11,81,0,65,1000.99922402219,0.0049,"Yes"
"1313","K12 Inc.","LRN","25302020",1098863,1476,968,857,225,197,4,197,13,93,923.37053892915,0.001,"Yes"
"1314","Blucora Inc","BCOR","40203010",1098865,801,407,578,48,290,3,662,35,148,679.46321457505,0,"Yes"
"1315","Kadant Inc.","KAI","20106020",1098867,670,381,523,220,218,21,423,10,83,1584.05879368319,0,"Yes"
"1316","Echo Global Logistics  Inc.","ECHO","20301010",1098868,2698,2266,935,232,98,26,312,0,39,779.38033965056,0.003,"Yes"
"1317","Inter Parfums  Inc.","IPAR","30302010",1098869,628,241,801,70,201,8,0,0,25,1619.30141988385,0,"Yes"
"1318","Anika Therapeutics Inc","ANIK","35202010",1098870,148,50,109,103,7,0,7,28,19,917.6999000656,0,"Yes"
"1319","Perficient  Inc.","PRFT","45102010",1098871,667,409,378,58,39,14,351,0,82,1555.0463498493,0,"Yes"
"1320","Easterly Government Properties Inc","DEA","60101040",1098873,268,82,53,2479,227,0,0,0,129,1540.94237482082,0,"Yes"
"1321","BioCryst Pharmaceuticals  Inc.","BCRX","35201010",1098874,57,1,97,18,0,4,0,138,-239,1482.27613919479,0,"Yes"
"1322","Century Aluminum Co","CENX","15104010",1098877,1845,1759,131,1947,0,16,0,0,-60,1232.142624,0.0107,"Yes"
"1323","Encore Capital Group  Inc.","ECPG","40201040",1098878,1513,272,1520,315,53,91,918,0,479,1237.04068245809,6e-04,"Yes"
"1324","Lexicon Pharmaceuticals  Inc.","LXRX","35201010",1098879,4,0,179,77,19,1,44,54,-97,427.21818273656,0,"Yes"
"1325","Getty Realty Corp.","GTY","60101040",1098881,155,31,45,1113,0,19,0,0,107,1258.56786502256,0,"Yes"
"1326","Kelly Services  Inc.","KELYA","20202010",1098882,4767,3883,2517,322,65,0,167,0,-16,744.86797700848,0.0594,"Yes"
"1327","Thermon Group Holdings Inc","THR","20104010",1098883,279,160,290,132,122,16,232,0,261,610.40108118095,0,"Yes"
"1328","GTT Communications Inc","GTT","45102010",1098885,1270,799,997,3066,727,251,2623,0,264,236.70472282494,5e-04,"Yes"
"1329","Scorpio Tankers Inc.","STNG","10102040",1098887,792,322,181,5475,0,569,11,0,506,633.27678584456,0,"No"
"1330","Douglas Dynamics Inc","PLOW","20106010",1098888,518,364,196,148,163,17,241,5,49,990.52320911563,0,"Yes"
"1331","Materion Corp","MTRN","15104020",1098889,1214,974,418,1002,6,0,80,18,26,1215.28708108776,9e-04,"Yes"
"1332","Red Rock Resorts Inc","RRR","25301010",1098890,1433,702,1070,4030,108,14,195,0,253,1988.46137967209,7e-04,"Yes"
"1333","MGP Ingredients Inc","MGPI","30201020",1098891,423,325,99,331,0,4,0,0,22,763.51730434318,0,"Yes"
"1334","Epizyme Inc","EPZM","35201010",1098892,74,0,184,32,0,7,0,193,-223,1272.12522328054,0,"Yes"
"1335","Extreme Networks  Inc","EXTR","45201020",1098893,953,378,925,221,75,47,364,198,73,776.355900264,0,"Yes"
"1336","Hibbett Sports  Inc.","HIBB","25504010",1098894,1388,912,775,497,36,2,21,0,84,777.20284281,9e-04,"Yes"
"1337","Red Robin Gourmet Burgers  Inc.","RRGB","25301040",1098895,1124,923,431,1704,29,49,96,0,52,301.14646806594,6e-04,"Yes"
"1338","Quanex Building Products Corporation","NX","20102010",1098897,878,681,295,548,107,37,145,0,64,683.4767807098,0,"Yes"
"1339","CTS Corporation","CTS","45203010",1098899,462,308,206,370,102,17,128,25,57,1032.37859429395,0,"Yes"
"1340","CBIZ  Inc.","CBZ","20201070",1098900,1002,834,126,264,70,13,619,0,100,1405.48474641149,3e-04,"Yes"
"1341","Retrophin Inc","RTRX","35201010",1098901,224,6,296,11,157,4,0,149,-13,1041.44762473237,0,"Yes"
"1342","Photronics  Inc.","PLAB","45301010",1098904,652,498,152,2067,-2,4,0,18,83,721.22321947254,0,"Yes"
"1343","ArcBest Corp","ARCB","20304020",1098905,3157,717,5471,1739,55,40,83,0,112,1119.50810732705,7e-04,"Yes"
"1344","Quotient Technology Inc","QUOT","50201010",1098906,489,261,439,97,84,7,155,39,74,1101.2531963144,0,"Yes"
"1345","CEVA  Inc.","CEVA","45301020",1098907,99,9,76,43,12,0,47,62,-6,865.01625,0,"Yes"
"1346","Luminex Corporation","LMNX","35101010",1098909,473,192,364,215,112,0,138,68,44,1206.31221256379,0,"Yes"
"1347","New York Mortgage Trust Inc","NYMT","60101080",1098911,158,0,58,0,0,15,25,0,0,1536.72102880375,0,"Yes"
"1348","Gogo Inc","GOGO","50102010",1098913,354,170,362,1065,75,64,0,38,109,846.1825067304,0,"Yes"
"1349","Eagle Pharmaceuticals Inc","EGRX","35202010",1098915,233,64,205,10,14,2,36,40,41,678.73949049813,0,"Yes"
"1350","BioTelemetry Inc","BEAT","35102015",1098916,510,196,516,231,157,9,366,15,98,2209.73814913563,0,"Yes"
"1351","Investors Real Estate Trust","IRET","60101060",1098917,182,86,43,999,1,18,1,0,81,1146.8894079006,0,"Yes"
"1352","Iridium Communications Inc","IRDM","50102010",1098918,608,152,274,3742,46,35,0,13,314,5504.6449467231,0,"Yes"
"1353","Team  Inc.","TISI","20201070",1098919,1004,702,1022,518,117,46,282,0,15,503.80676230284,0,"Yes"
"1354","Express  Inc.","EXPR","25504010",1098921,1198,1173,1723,1989,0,0,0,0,-214,72.3868539184,2e-04,"Yes"
"1355","Alamo Group  Inc.","ALG","20106010",1098922,1243,909,474,369,174,5,297,12,77,1533.84668417026,9e-04,"Yes"
"1356","Griffon Corporation","GFF","20102010",1098923,2432,1767,1191,605,375,82,444,16,133,1048.54829323796,0.002,"Yes"
"1357","GoPro Inc","GPRO","25201010",1098926,1113,694,818,152,12,108,141,124,71,1761.26280771959,3e-04,"Yes"
"1358","FormFactor  Inc.","FORM","45301010",1098927,718,385,295,427,57,59,161,96,90,3235.73333774757,0,"Yes"
"1359","Guess?  Inc.","GES","25504010",1098928,1885,1216,2379,1751,0,225,28,0,123,1301.2374574914,6e-04,"Yes"
"1360","Unisys Corporation","UIS","45102010",1098929,2139,1603,1063,612,103,98,113,21,428,1233.42679844167,0.0018,"Yes"
